Channel,Title,Description,Comment
In The Mix,I Tested The 10 Best Headphones 2020 ($50 to $150),"What are the best headphones for music production and mixing?
It's a good question! Today I hope to help answer it. Please ask me anything about any of the headphones in the comments of this video and I will reply with detailed notes and feedback :)

Good headphones should:
1) Provide an accurate, spacious sound stage to aid in mixing and mastering music.
2) Reveal low, mid and high frequencies without distortion so you can make quick production decisions.
3) Faithfully reproduce the dynamics and transient response of the material. 
4) Reveal the depth of audio material.
5) Feel comfortable on your head for many hours and be strong enough to withstand daily ues.
  
These headphones I tested and the price at the time of video publishing ($USD / £GBP)

Beyerdynamic DT 770 Pro   $143 = £108
Audio Technica M50x          $143 = £108
Beyerdynamic DT 240 Pro   $82 = £63
Audio Technica M40x          $102 = £78
Audio Technica M30x          $68 = £53
Audio Technica M20x          $44 = £34
AKG K 702                              $154 = £119
AKG K 240 MII                       $70  = £54
Sennheiser HD280 MK2       $143 = £110
Sony MDR 7506                     $115 = £89
▶Join my free discord server: https://discord.gg/sBbsE6e
►Get 7% off DistroKid if you signup through my custom link → http://distrokid.com/vip/inthemix
▶Time Stamps
0:00 - Intro
0:35 - The 10 Headphones
0:55 - How I tested them
1:55 - My favourite ($150 Budget) 
3:25 - My Favourite ($50~$80 Budget) 
4:10 - AKG 240MKII Review
5:08 - Sony MDR 7506 Review
6:05 - Sennheiser HD280 Pro MK2 Review
6:57 - Audio Technica M20x Review
7:30 - Audio Technica M30x Review
7:55 - Beyerdynamic DT 240 Pro Review
8:20 - AKG K702 Review   
9:30 - Final Summary


Notes:
- It appears that the AKG K702 is now produced in China (it used to be made in Europe and cost much more). This likely explains why my experience doesn't match what others have said in previous years. 
- The DT 770 pro really is a step above the rest here and if you can afford it, I think it offers the best price to performance out of these 10.
- There were many other headphones which didn't even make it to this top 10 due to:
Lack of customer support/brand new company with no track record
Terrible first impression etc","I am also a big fan of Beyerdynamic, I LOVE my DT880s pro. I've made full productions from scratch to mastering only using this. Great guide, cheers!"
In The Mix,I Tested The 10 Best Headphones 2020 ($50 to $150),"What are the best headphones for music production and mixing?
It's a good question! Today I hope to help answer it. Please ask me anything about any of the headphones in the comments of this video and I will reply with detailed notes and feedback :)

Good headphones should:
1) Provide an accurate, spacious sound stage to aid in mixing and mastering music.
2) Reveal low, mid and high frequencies without distortion so you can make quick production decisions.
3) Faithfully reproduce the dynamics and transient response of the material. 
4) Reveal the depth of audio material.
5) Feel comfortable on your head for many hours and be strong enough to withstand daily ues.
  
These headphones I tested and the price at the time of video publishing ($USD / £GBP)

Beyerdynamic DT 770 Pro   $143 = £108
Audio Technica M50x          $143 = £108
Beyerdynamic DT 240 Pro   $82 = £63
Audio Technica M40x          $102 = £78
Audio Technica M30x          $68 = £53
Audio Technica M20x          $44 = £34
AKG K 702                              $154 = £119
AKG K 240 MII                       $70  = £54
Sennheiser HD280 MK2       $143 = £110
Sony MDR 7506                     $115 = £89
▶Join my free discord server: https://discord.gg/sBbsE6e
►Get 7% off DistroKid if you signup through my custom link → http://distrokid.com/vip/inthemix
▶Time Stamps
0:00 - Intro
0:35 - The 10 Headphones
0:55 - How I tested them
1:55 - My favourite ($150 Budget) 
3:25 - My Favourite ($50~$80 Budget) 
4:10 - AKG 240MKII Review
5:08 - Sony MDR 7506 Review
6:05 - Sennheiser HD280 Pro MK2 Review
6:57 - Audio Technica M20x Review
7:30 - Audio Technica M30x Review
7:55 - Beyerdynamic DT 240 Pro Review
8:20 - AKG K702 Review   
9:30 - Final Summary


Notes:
- It appears that the AKG K702 is now produced in China (it used to be made in Europe and cost much more). This likely explains why my experience doesn't match what others have said in previous years. 
- The DT 770 pro really is a step above the rest here and if you can afford it, I think it offers the best price to performance out of these 10.
- There were many other headphones which didn't even make it to this top 10 due to:
Lack of customer support/brand new company with no track record
Terrible first impression etc","The 880s are a very unique and special headphone. They take some time to get used to but they are perfect for some. I really like the closed in feel of the 770 pro myself but for anyone reading this - this guy here has some amazing tutorials and you'll learn a lot from his channel, I know I do!"
In The Mix,I Tested The 10 Best Headphones 2020 ($50 to $150),"What are the best headphones for music production and mixing?
It's a good question! Today I hope to help answer it. Please ask me anything about any of the headphones in the comments of this video and I will reply with detailed notes and feedback :)

Good headphones should:
1) Provide an accurate, spacious sound stage to aid in mixing and mastering music.
2) Reveal low, mid and high frequencies without distortion so you can make quick production decisions.
3) Faithfully reproduce the dynamics and transient response of the material. 
4) Reveal the depth of audio material.
5) Feel comfortable on your head for many hours and be strong enough to withstand daily ues.
  
These headphones I tested and the price at the time of video publishing ($USD / £GBP)

Beyerdynamic DT 770 Pro   $143 = £108
Audio Technica M50x          $143 = £108
Beyerdynamic DT 240 Pro   $82 = £63
Audio Technica M40x          $102 = £78
Audio Technica M30x          $68 = £53
Audio Technica M20x          $44 = £34
AKG K 702                              $154 = £119
AKG K 240 MII                       $70  = £54
Sennheiser HD280 MK2       $143 = £110
Sony MDR 7506                     $115 = £89
▶Join my free discord server: https://discord.gg/sBbsE6e
►Get 7% off DistroKid if you signup through my custom link → http://distrokid.com/vip/inthemix
▶Time Stamps
0:00 - Intro
0:35 - The 10 Headphones
0:55 - How I tested them
1:55 - My favourite ($150 Budget) 
3:25 - My Favourite ($50~$80 Budget) 
4:10 - AKG 240MKII Review
5:08 - Sony MDR 7506 Review
6:05 - Sennheiser HD280 Pro MK2 Review
6:57 - Audio Technica M20x Review
7:30 - Audio Technica M30x Review
7:55 - Beyerdynamic DT 240 Pro Review
8:20 - AKG K702 Review   
9:30 - Final Summary


Notes:
- It appears that the AKG K702 is now produced in China (it used to be made in Europe and cost much more). This likely explains why my experience doesn't match what others have said in previous years. 
- The DT 770 pro really is a step above the rest here and if you can afford it, I think it offers the best price to performance out of these 10.
- There were many other headphones which didn't even make it to this top 10 due to:
Lack of customer support/brand new company with no track record
Terrible first impression etc",2 pros chatting 😅
In The Mix,I Tested The 10 Best Headphones 2020 ($50 to $150),"What are the best headphones for music production and mixing?
It's a good question! Today I hope to help answer it. Please ask me anything about any of the headphones in the comments of this video and I will reply with detailed notes and feedback :)

Good headphones should:
1) Provide an accurate, spacious sound stage to aid in mixing and mastering music.
2) Reveal low, mid and high frequencies without distortion so you can make quick production decisions.
3) Faithfully reproduce the dynamics and transient response of the material. 
4) Reveal the depth of audio material.
5) Feel comfortable on your head for many hours and be strong enough to withstand daily ues.
  
These headphones I tested and the price at the time of video publishing ($USD / £GBP)

Beyerdynamic DT 770 Pro   $143 = £108
Audio Technica M50x          $143 = £108
Beyerdynamic DT 240 Pro   $82 = £63
Audio Technica M40x          $102 = £78
Audio Technica M30x          $68 = £53
Audio Technica M20x          $44 = £34
AKG K 702                              $154 = £119
AKG K 240 MII                       $70  = £54
Sennheiser HD280 MK2       $143 = £110
Sony MDR 7506                     $115 = £89
▶Join my free discord server: https://discord.gg/sBbsE6e
►Get 7% off DistroKid if you signup through my custom link → http://distrokid.com/vip/inthemix
▶Time Stamps
0:00 - Intro
0:35 - The 10 Headphones
0:55 - How I tested them
1:55 - My favourite ($150 Budget) 
3:25 - My Favourite ($50~$80 Budget) 
4:10 - AKG 240MKII Review
5:08 - Sony MDR 7506 Review
6:05 - Sennheiser HD280 Pro MK2 Review
6:57 - Audio Technica M20x Review
7:30 - Audio Technica M30x Review
7:55 - Beyerdynamic DT 240 Pro Review
8:20 - AKG K702 Review   
9:30 - Final Summary


Notes:
- It appears that the AKG K702 is now produced in China (it used to be made in Europe and cost much more). This likely explains why my experience doesn't match what others have said in previous years. 
- The DT 770 pro really is a step above the rest here and if you can afford it, I think it offers the best price to performance out of these 10.
- There were many other headphones which didn't even make it to this top 10 due to:
Lack of customer support/brand new company with no track record
Terrible first impression etc", @In The Mix  Im considering buying  the DT770 for producing on the go. Thanks for the mention!
In The Mix,I Tested The 10 Best Headphones 2020 ($50 to $150),"What are the best headphones for music production and mixing?
It's a good question! Today I hope to help answer it. Please ask me anything about any of the headphones in the comments of this video and I will reply with detailed notes and feedback :)

Good headphones should:
1) Provide an accurate, spacious sound stage to aid in mixing and mastering music.
2) Reveal low, mid and high frequencies without distortion so you can make quick production decisions.
3) Faithfully reproduce the dynamics and transient response of the material. 
4) Reveal the depth of audio material.
5) Feel comfortable on your head for many hours and be strong enough to withstand daily ues.
  
These headphones I tested and the price at the time of video publishing ($USD / £GBP)

Beyerdynamic DT 770 Pro   $143 = £108
Audio Technica M50x          $143 = £108
Beyerdynamic DT 240 Pro   $82 = £63
Audio Technica M40x          $102 = £78
Audio Technica M30x          $68 = £53
Audio Technica M20x          $44 = £34
AKG K 702                              $154 = £119
AKG K 240 MII                       $70  = £54
Sennheiser HD280 MK2       $143 = £110
Sony MDR 7506                     $115 = £89
▶Join my free discord server: https://discord.gg/sBbsE6e
►Get 7% off DistroKid if you signup through my custom link → http://distrokid.com/vip/inthemix
▶Time Stamps
0:00 - Intro
0:35 - The 10 Headphones
0:55 - How I tested them
1:55 - My favourite ($150 Budget) 
3:25 - My Favourite ($50~$80 Budget) 
4:10 - AKG 240MKII Review
5:08 - Sony MDR 7506 Review
6:05 - Sennheiser HD280 Pro MK2 Review
6:57 - Audio Technica M20x Review
7:30 - Audio Technica M30x Review
7:55 - Beyerdynamic DT 240 Pro Review
8:20 - AKG K702 Review   
9:30 - Final Summary


Notes:
- It appears that the AKG K702 is now produced in China (it used to be made in Europe and cost much more). This likely explains why my experience doesn't match what others have said in previous years. 
- The DT 770 pro really is a step above the rest here and if you can afford it, I think it offers the best price to performance out of these 10.
- There were many other headphones which didn't even make it to this top 10 due to:
Lack of customer support/brand new company with no track record
Terrible first impression etc", @In The Mix  I use 770s for DJing since I need isolation and 990s for mixing to avoid ear fatigue
In The Mix,I Tested The 10 Best Headphones 2020 ($50 to $150),"What are the best headphones for music production and mixing?
It's a good question! Today I hope to help answer it. Please ask me anything about any of the headphones in the comments of this video and I will reply with detailed notes and feedback :)

Good headphones should:
1) Provide an accurate, spacious sound stage to aid in mixing and mastering music.
2) Reveal low, mid and high frequencies without distortion so you can make quick production decisions.
3) Faithfully reproduce the dynamics and transient response of the material. 
4) Reveal the depth of audio material.
5) Feel comfortable on your head for many hours and be strong enough to withstand daily ues.
  
These headphones I tested and the price at the time of video publishing ($USD / £GBP)

Beyerdynamic DT 770 Pro   $143 = £108
Audio Technica M50x          $143 = £108
Beyerdynamic DT 240 Pro   $82 = £63
Audio Technica M40x          $102 = £78
Audio Technica M30x          $68 = £53
Audio Technica M20x          $44 = £34
AKG K 702                              $154 = £119
AKG K 240 MII                       $70  = £54
Sennheiser HD280 MK2       $143 = £110
Sony MDR 7506                     $115 = £89
▶Join my free discord server: https://discord.gg/sBbsE6e
►Get 7% off DistroKid if you signup through my custom link → http://distrokid.com/vip/inthemix
▶Time Stamps
0:00 - Intro
0:35 - The 10 Headphones
0:55 - How I tested them
1:55 - My favourite ($150 Budget) 
3:25 - My Favourite ($50~$80 Budget) 
4:10 - AKG 240MKII Review
5:08 - Sony MDR 7506 Review
6:05 - Sennheiser HD280 Pro MK2 Review
6:57 - Audio Technica M20x Review
7:30 - Audio Technica M30x Review
7:55 - Beyerdynamic DT 240 Pro Review
8:20 - AKG K702 Review   
9:30 - Final Summary


Notes:
- It appears that the AKG K702 is now produced in China (it used to be made in Europe and cost much more). This likely explains why my experience doesn't match what others have said in previous years. 
- The DT 770 pro really is a step above the rest here and if you can afford it, I think it offers the best price to performance out of these 10.
- There were many other headphones which didn't even make it to this top 10 due to:
Lack of customer support/brand new company with no track record
Terrible first impression etc",Producer collab? Maybe? No? Ok...😂😂
In The Mix,I Tested The 10 Best Headphones 2020 ($50 to $150),"What are the best headphones for music production and mixing?
It's a good question! Today I hope to help answer it. Please ask me anything about any of the headphones in the comments of this video and I will reply with detailed notes and feedback :)

Good headphones should:
1) Provide an accurate, spacious sound stage to aid in mixing and mastering music.
2) Reveal low, mid and high frequencies without distortion so you can make quick production decisions.
3) Faithfully reproduce the dynamics and transient response of the material. 
4) Reveal the depth of audio material.
5) Feel comfortable on your head for many hours and be strong enough to withstand daily ues.
  
These headphones I tested and the price at the time of video publishing ($USD / £GBP)

Beyerdynamic DT 770 Pro   $143 = £108
Audio Technica M50x          $143 = £108
Beyerdynamic DT 240 Pro   $82 = £63
Audio Technica M40x          $102 = £78
Audio Technica M30x          $68 = £53
Audio Technica M20x          $44 = £34
AKG K 702                              $154 = £119
AKG K 240 MII                       $70  = £54
Sennheiser HD280 MK2       $143 = £110
Sony MDR 7506                     $115 = £89
▶Join my free discord server: https://discord.gg/sBbsE6e
►Get 7% off DistroKid if you signup through my custom link → http://distrokid.com/vip/inthemix
▶Time Stamps
0:00 - Intro
0:35 - The 10 Headphones
0:55 - How I tested them
1:55 - My favourite ($150 Budget) 
3:25 - My Favourite ($50~$80 Budget) 
4:10 - AKG 240MKII Review
5:08 - Sony MDR 7506 Review
6:05 - Sennheiser HD280 Pro MK2 Review
6:57 - Audio Technica M20x Review
7:30 - Audio Technica M30x Review
7:55 - Beyerdynamic DT 240 Pro Review
8:20 - AKG K702 Review   
9:30 - Final Summary


Notes:
- It appears that the AKG K702 is now produced in China (it used to be made in Europe and cost much more). This likely explains why my experience doesn't match what others have said in previous years. 
- The DT 770 pro really is a step above the rest here and if you can afford it, I think it offers the best price to performance out of these 10.
- There were many other headphones which didn't even make it to this top 10 due to:
Lack of customer support/brand new company with no track record
Terrible first impression etc",Oblaid ...ur demo projects in the fl studio has helped me so much to discover new sounds and my own style..cant thank u enough for all those free flps 💙
In The Mix,I Tested The 10 Best Headphones 2020 ($50 to $150),"What are the best headphones for music production and mixing?
It's a good question! Today I hope to help answer it. Please ask me anything about any of the headphones in the comments of this video and I will reply with detailed notes and feedback :)

Good headphones should:
1) Provide an accurate, spacious sound stage to aid in mixing and mastering music.
2) Reveal low, mid and high frequencies without distortion so you can make quick production decisions.
3) Faithfully reproduce the dynamics and transient response of the material. 
4) Reveal the depth of audio material.
5) Feel comfortable on your head for many hours and be strong enough to withstand daily ues.
  
These headphones I tested and the price at the time of video publishing ($USD / £GBP)

Beyerdynamic DT 770 Pro   $143 = £108
Audio Technica M50x          $143 = £108
Beyerdynamic DT 240 Pro   $82 = £63
Audio Technica M40x          $102 = £78
Audio Technica M30x          $68 = £53
Audio Technica M20x          $44 = £34
AKG K 702                              $154 = £119
AKG K 240 MII                       $70  = £54
Sennheiser HD280 MK2       $143 = £110
Sony MDR 7506                     $115 = £89
▶Join my free discord server: https://discord.gg/sBbsE6e
►Get 7% off DistroKid if you signup through my custom link → http://distrokid.com/vip/inthemix
▶Time Stamps
0:00 - Intro
0:35 - The 10 Headphones
0:55 - How I tested them
1:55 - My favourite ($150 Budget) 
3:25 - My Favourite ($50~$80 Budget) 
4:10 - AKG 240MKII Review
5:08 - Sony MDR 7506 Review
6:05 - Sennheiser HD280 Pro MK2 Review
6:57 - Audio Technica M20x Review
7:30 - Audio Technica M30x Review
7:55 - Beyerdynamic DT 240 Pro Review
8:20 - AKG K702 Review   
9:30 - Final Summary


Notes:
- It appears that the AKG K702 is now produced in China (it used to be made in Europe and cost much more). This likely explains why my experience doesn't match what others have said in previous years. 
- The DT 770 pro really is a step above the rest here and if you can afford it, I think it offers the best price to performance out of these 10.
- There were many other headphones which didn't even make it to this top 10 due to:
Lack of customer support/brand new company with no track record
Terrible first impression etc",Thanks for the presets Olbaid 😎👍
In The Mix,I Tested The 10 Best Headphones 2020 ($50 to $150),"What are the best headphones for music production and mixing?
It's a good question! Today I hope to help answer it. Please ask me anything about any of the headphones in the comments of this video and I will reply with detailed notes and feedback :)

Good headphones should:
1) Provide an accurate, spacious sound stage to aid in mixing and mastering music.
2) Reveal low, mid and high frequencies without distortion so you can make quick production decisions.
3) Faithfully reproduce the dynamics and transient response of the material. 
4) Reveal the depth of audio material.
5) Feel comfortable on your head for many hours and be strong enough to withstand daily ues.
  
These headphones I tested and the price at the time of video publishing ($USD / £GBP)

Beyerdynamic DT 770 Pro   $143 = £108
Audio Technica M50x          $143 = £108
Beyerdynamic DT 240 Pro   $82 = £63
Audio Technica M40x          $102 = £78
Audio Technica M30x          $68 = £53
Audio Technica M20x          $44 = £34
AKG K 702                              $154 = £119
AKG K 240 MII                       $70  = £54
Sennheiser HD280 MK2       $143 = £110
Sony MDR 7506                     $115 = £89
▶Join my free discord server: https://discord.gg/sBbsE6e
►Get 7% off DistroKid if you signup through my custom link → http://distrokid.com/vip/inthemix
▶Time Stamps
0:00 - Intro
0:35 - The 10 Headphones
0:55 - How I tested them
1:55 - My favourite ($150 Budget) 
3:25 - My Favourite ($50~$80 Budget) 
4:10 - AKG 240MKII Review
5:08 - Sony MDR 7506 Review
6:05 - Sennheiser HD280 Pro MK2 Review
6:57 - Audio Technica M20x Review
7:30 - Audio Technica M30x Review
7:55 - Beyerdynamic DT 240 Pro Review
8:20 - AKG K702 Review   
9:30 - Final Summary


Notes:
- It appears that the AKG K702 is now produced in China (it used to be made in Europe and cost much more). This likely explains why my experience doesn't match what others have said in previous years. 
- The DT 770 pro really is a step above the rest here and if you can afford it, I think it offers the best price to performance out of these 10.
- There were many other headphones which didn't even make it to this top 10 due to:
Lack of customer support/brand new company with no track record
Terrible first impression etc","FYI for people the Pro/Studio/unnamed 770s are all the same.  The name depends on where you get them from.  Studios are from guitar center, Pros are from Amazon.  Literally no difference you just need to pay attention to impedence."
In The Mix,I Tested The 10 Best Headphones 2020 ($50 to $150),"What are the best headphones for music production and mixing?
It's a good question! Today I hope to help answer it. Please ask me anything about any of the headphones in the comments of this video and I will reply with detailed notes and feedback :)

Good headphones should:
1) Provide an accurate, spacious sound stage to aid in mixing and mastering music.
2) Reveal low, mid and high frequencies without distortion so you can make quick production decisions.
3) Faithfully reproduce the dynamics and transient response of the material. 
4) Reveal the depth of audio material.
5) Feel comfortable on your head for many hours and be strong enough to withstand daily ues.
  
These headphones I tested and the price at the time of video publishing ($USD / £GBP)

Beyerdynamic DT 770 Pro   $143 = £108
Audio Technica M50x          $143 = £108
Beyerdynamic DT 240 Pro   $82 = £63
Audio Technica M40x          $102 = £78
Audio Technica M30x          $68 = £53
Audio Technica M20x          $44 = £34
AKG K 702                              $154 = £119
AKG K 240 MII                       $70  = £54
Sennheiser HD280 MK2       $143 = £110
Sony MDR 7506                     $115 = £89
▶Join my free discord server: https://discord.gg/sBbsE6e
►Get 7% off DistroKid if you signup through my custom link → http://distrokid.com/vip/inthemix
▶Time Stamps
0:00 - Intro
0:35 - The 10 Headphones
0:55 - How I tested them
1:55 - My favourite ($150 Budget) 
3:25 - My Favourite ($50~$80 Budget) 
4:10 - AKG 240MKII Review
5:08 - Sony MDR 7506 Review
6:05 - Sennheiser HD280 Pro MK2 Review
6:57 - Audio Technica M20x Review
7:30 - Audio Technica M30x Review
7:55 - Beyerdynamic DT 240 Pro Review
8:20 - AKG K702 Review   
9:30 - Final Summary


Notes:
- It appears that the AKG K702 is now produced in China (it used to be made in Europe and cost much more). This likely explains why my experience doesn't match what others have said in previous years. 
- The DT 770 pro really is a step above the rest here and if you can afford it, I think it offers the best price to performance out of these 10.
- There were many other headphones which didn't even make it to this top 10 due to:
Lack of customer support/brand new company with no track record
Terrible first impression etc","Is there any difference in low end dynamics between the DT770 and DT880 ?
For the first two years of producing I exclusively used the DT770, however when the left driver started to rattle for the second time and I had to send them back again I got the Sennheiser HD25 - initially just for replacement - until the Beyerdynamics come back."
